process,version,name,nameDiff,mandatory,mandatoryDiff,range,rangeDiff,default,defaultDiff,description,descriptionDiff
Zabbix agent (UNIX),4.0,TLSCipherPSK,match,no,match,,match,,match,GnuTLS priority string or OpenSSL (TLS 1.2) cipher string. Override the default ciphersuite selection criteria for PSK-based encryption.<br>Example for GnuTLS: NONE:+VERS-TLS1.2:+ECDHE-PSK:+PSK:+AES-128-GCM:+AES-128-CBC:+AEAD:+SHA256:+SHA1:+CURVE-ALL:+COMP-NULL:+SIGN-ALL<br>Example for OpenSSL: kECDHEPSK+AES128:kPSK+AES128<br>This parameter is supported since Zabbix 4.0.19.,match
Zabbix agent (UNIX),4.0,TLSCipherPSK13,match,no,match,,match,,match,Cipher string for OpenSSL 1.1.1 or newer in TLS 1.3. Override the default ciphersuite selection criteria for PSK-based encryption.<br>Example: TLS_CHACHA20_POLY1305_SHA256:TLS_AES_128_GCM_SHA256<br>This parameter is supported since Zabbix 4.0.19.,match
Zabbix agent (UNIX),4.0,TLSConnect,match,"yes, if TLS certificate or PSK parameters are defined (even for <em>unencrypted</em> connection), otherwise no",match,,match,,match,How the agent should connect to Zabbix server or proxy. Used for active checks. Only one value can be specified:<br><em>unencrypted</em> - connect without encryption (default)<br><em>psk</em> - connect using TLS and a pre-shared key (PSK)<br><em>cert</em> - connect using TLS and a certificate<br>This parameter is supported since Zabbix 3.0.0.,match
Zabbix agent (UNIX),4.0,TLSCRLFile,match,no,match,,match,,match,Full pathname of a file containing revoked certificates. This parameter is used for encrypted communications with Zabbix components.<br>This parameter is supported since Zabbix 3.0.0.,match
Zabbix agent (UNIX),4.0,TLSKeyFile,match,no,match,,match,,match,Full pathname of a file containing the agent private key used for encrypted communications with Zabbix components.<br>This parameter is supported since Zabbix 3.0.0.,match
Zabbix agent (UNIX),4.0,TLSPSKFile,match,no,match,,match,,match,Full pathname of a file containing the agent pre-shared key used for encrypted communications with Zabbix components.<br>This parameter is supported since Zabbix 3.0.0.,match
Zabbix agent (UNIX),4.0,TLSPSKIdentity,match,no,match,,match,,match,"Pre-shared key identity string, used for encrypted communications with Zabbix server.<br>This parameter is supported since Zabbix 3.0.0.",match
Zabbix agent (UNIX),4.0,TLSServerCertIssuer,match,no,match,,match,,match,Allowed server (proxy) certificate issuer.<br>This parameter is supported since Zabbix 3.0.0.,match
Zabbix agent (UNIX),4.0,TLSServerCertSubject,match,no,match,,match,,match,Allowed server (proxy) certificate subject.<br>This parameter is supported since Zabbix 3.0.0.,match
Zabbix agent (UNIX),4.0,UnsafeUserParameters,match,no,match,"0,1",match,0,match,"Allow all characters to be passed in arguments to user-defined parameters.<br>0 - do not allow<br>1 - allow<br>The following characters are not allowed:<br>\ ' "" ` * ? [ ] { } ~ $ ! &amp; ; ( ) &lt; &gt; | # @<br>Additionally, newline characters are not allowed.<br>Supported since Zabbix 1.8.2.",match
Zabbix agent (UNIX),4.0,User,match,no,match,,match,zabbix,match,"Drop privileges to a specific, existing user on the system.<br>Only has effect if run as 'root' and AllowRoot is disabled.<br>This parameter is supported since Zabbix 2.4.0.",match
Zabbix agent (UNIX),4.0,UserParameter,match,no,match,,match,,match,"User-defined parameter to monitor. There can be several user-defined parameters.<br>Format: UserParameter=&lt;key&gt;,&lt;shell command&gt;<br>Note that shell command must not return empty string or EOL only.<br>Example: UserParameter=system.test,who|wc -l",match
