process,version,name,nameDiff,mandatory,mandatoryDiff,range,rangeDiff,default,defaultDiff,description,descriptionDiff
Zabbix server,4.0,SSHKeyLocation,match,no,match,,match,,match,Location of public and private keys for SSH checks and actions,match
Zabbix server,4.0,SSLCertLocation,match,no,match,,match,,match,Location of SSL client certificate files for client authentication.<br>This parameter is used in web monitoring only and is supported since Zabbix 2.4.,match
Zabbix server,4.0,SSLKeyLocation,match,no,match,,match,,match,Location of SSL private key files for client authentication.<br>This parameter is used in web monitoring only and is supported since Zabbix 2.4.,match
Zabbix server,4.0,SSLCALocation,match,no,match,,match,,match,"Override the location of certificate authority (CA) files for SSL server certificate verification. If not set, system-wide directory will be used.<br>Note that the value of this parameter will be set as libcurl option CURLOPT_CAPATH. For libcurl versions before 7.42.0, this only has effect if libcurl was compiled to use OpenSSL. For more information see cURL web page.<br>This parameter is used in web monitoring since Zabbix 2.4.0 and in SMTP authentication since Zabbix 3.0.0.",match
Zabbix server,4.0,StartDBSyncers,match,no,match,1-100,match,4,match,Number of pre-forked instances of DB Syncers.<br>The upper limit used to be 64 before version 1.8.5.<br>This parameter is supported since Zabbix 1.8.3.,match
Zabbix server,4.0,StartAlerters,match,no,match,1-100,match,3,match,Number of pre-forked instances of alerters.<br>This parameter is supported since Zabbix 3.4.0.,match
Zabbix server,4.0,StartDiscoverers,match,no,match,0-250,match,1,match,Number of pre-forked instances of discoverers.<br>The upper limit used to be 255 before version 1.8.5.,match
Zabbix server,4.0,StartEscalators,match,no,match,1-100,match,1,match,Number of pre-forked instances of escalators.<br>This parameter is supported since Zabbix 3.0.0.,match
Zabbix server,4.0,StartHTTPPollers,match,no,match,0-1000,match,1,match,Number of pre-forked instances of HTTP pollers<strong><sup>1</sup></strong>.<br>The upper limit used to be 255 before version 1.8.5.,match
Zabbix server,4.0,StartIPMIPollers,match,no,match,0-1000,match,0,match,Number of pre-forked instances of IPMI pollers.<br>The upper limit used to be 255 before version 1.8.5.,match
Zabbix server,4.0,StartJavaPollers,match,no,match,0-1000,match,0,match,Number of pre-forked instances of Java pollers<strong><sup>1</sup></strong>.<br>This parameter is supported since Zabbix 2.0.0.,match
Zabbix server,4.0,StartPingers,match,no,match,0-1000,match,1,match,Number of pre-forked instances of ICMP pingers<strong><sup>1</sup></strong>.<br>The upper limit used to be 255 before version 1.8.5.,match
Zabbix server,4.0,StartPollersUnreachable,match,no,match,0-1000,match,1,match,"Number of pre-forked instances of pollers for unreachable hosts (including IPMI and Java)<strong><sup>1</sup></strong>.<br>Since Zabbix 2.4.0, at least one poller for unreachable hosts must be running if regular, IPMI or Java pollers are started.<br>The upper limit used to be 255 before version 1.8.5.<br>This option is missing in version 1.8.3.",match
